request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,12657.18,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 132,600 available."
request_60,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-04. None of the available options keeps the USD 400 minimum protected.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,39906.07,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 39,906.07 is available today, the full amount cannot be completed safely within 90 days."
request_64,42789.37,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-15,none,"Use 3 installments of INR 22,082.67, starting 2024-06-11. This leaves at least INR 36,100 available."
request_65,4351.36,not_affordable,not_recommended,none,2026-01-23,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 4,351.36 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,292.95,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 2024-11-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 2025-02-15. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,77785.41,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 77,785.41 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,68081.20,not_affordable,not_recommended,none,2023-02-15,none,"Do not proceed with the INR 71,400 request. Although INR 68,081.20 is available today, the full amount cannot be completed safely within 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This leaves at least ZAR 39,000 available."
request_76,1385.68,not_affordable,not_recommended,none,2024-07-15,none,"Do not proceed with the USD 4,455.60 request. Although USD 1,385.68 is available today, the full amount cannot be completed safely within 90 days."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,45365.25,not_affordable,not_recommended,none,2025-10-15,none,"Do not proceed with the INR 50,200 request. Although INR 45,365.25 is available today, the full amount cannot be completed safely within 90 days."
request_79,194.96,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 194.96 is available today, the full amount cannot be completed safely within 90 days."
request_80,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,100 minimum protected."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800 minimum protected."
request_84,28776.49,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 2026-06-15. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,374061.81,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 374,061.81 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900 minimum protected."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 25,800 available."
request_89,9226703.57,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the IDR 13,756,000 request. Although IDR 9,226,703.57 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,455.10,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,4013.74,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 4,013.74 is available today, the full amount cannot be completed safely within 90 days."
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 56,500 available."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available."
request_98,5625.20,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 27,148 request. Although ZAR 5,625.20 is available today, the full amount cannot be completed safely within 90 days."
request_99,16890.90,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.9,"Reduce expense (event_9232) to zar 1,065.90, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,27631.84,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,1095.30,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 1,095.30 is available today, the full amount cannot be completed safely within 90 days."
request_104,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,51553.55,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"Reduce expense (event_9720) to inr 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,440.12,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600 minimum protected."
request_108,12151.72,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 12,151.72 is available today, the full amount cannot be completed safely within 90 days."
request_109,460.56,not_affordable,not_recommended,none,2024-05-15,none,"Do not proceed with the EUR 1,863.40 request. Although EUR 460.56 is available today, the full amount cannot be completed safely within 90 days."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,218.08,affordable_with_plan,full_payment,2024-06-05:271.70,2024-08-15,reduce_to:event_10400:13,"Reduce expense (event_10400) to eur 13, then pay EUR 271.70 today. This leaves at least EUR 500 available."
request_113,18391.46,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 2026-10-15. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-14. None of the available options keeps the INR 113,400 minimum protected."
request_115,14552.20,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,7550.39,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 7,550.39 is available today, the full amount cannot be completed safely within 90 days."
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833|reduce_to:event_10878:20.5,"Stop the recurring expense (event_10833) and reduce expense (event_10878) to eur 20.50, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,91.71,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 738.10 request. Although EUR 91.71 is available today, the full amount cannot be completed safely within 90 days."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600 available."
request_125,5490.44,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed with the ZAR 6,468 request. Although ZAR 5,490.44 is available today, the full amount cannot be completed safely within 90 days."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,22667.68,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-24,reduce_to:event_11812:1058.2|stop:event_11813|reduce_to:event_11856:1100,"Reduce expense (event_11812) to zar 1,058.20 and stop the recurring expense (event_11813) and reduce expense (event_11856) to zar 1,100, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,110.47,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 110.47 is available today, the full amount cannot be completed safely within 90 days."
request_130,405.41,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1110.68,not_affordable,not_recommended,none,2025-07-23,none,"Do not proceed with the USD 1,855.20 request. Although USD 1,110.68 is available today, the full amount cannot be completed safely within 90 days."
request_132,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-25. None of the available options keeps the USD 1,100 minimum protected."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 15,770,000 is available today, the full amount cannot be completed safely within 90 days."
request_134,4469014.82,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,273.59,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413|reduce_to:event_12458:17.5,"Stop the recurring expense (event_12413) and reduce expense (event_12458) to usd 17.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,496.37,not_affordable,not_recommended,none,2024-06-15,none,"Do not proceed with the USD 560.40 request. Although USD 496.37 is available today, the full amount cannot be completed safely within 90 days."
request_137,24928.90,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 2026-01-15. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,861.61,affordable_with_plan,partial_payment,2026-04-07:861.61|2026-04-15:395.33,2026-04-15,none,"Pay EUR 861.61 today and the remaining EUR 395.33 on 2026-04-15. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1368.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1,500 available."
request_140,1622.98,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,622.98 is available today, the full amount cannot be completed safely within 90 days."
request_141,20454.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 20,454.41 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2653.42,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400 minimum protected."
request_146,14054.86,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 14,054.86 is available today, the full amount cannot be completed safely within 90 days."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900 minimum protected.
request_148,7665.48,not_affordable,not_recommended,none,2024-07-15,none,"Do not proceed with the ZAR 22,242 request. Although ZAR 7,665.48 is available today, the full amount cannot be completed safely within 90 days."
request_149,24545.82,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the ZAR 36,652 request. Although ZAR 24,545.82 is available today, the full amount cannot be completed safely within 90 days."
request_150,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11035.96,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the ZAR 13,882 request. Although ZAR 11,035.96 is available today, the full amount cannot be completed safely within 90 days."
request_153,12.42,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 12.42 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300 available."
request_155,13346.84,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 112,500 request. Although INR 13,346.84 is available today, the full amount cannot be completed safely within 90 days."
request_156,9334.86,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1159061.72,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,159,061.72 is available today, the full amount cannot be completed safely within 90 days."
request_163,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This leaves at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-16. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,30183194.40,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,30.56,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 30.56 is available today, the full amount cannot be completed safely within 90 days."
request_172,9598.68,affordable_with_plan,partial_payment,2024-06-05:9598.68|2024-06-15:601.32,2024-06-15,none,"Pay ZAR 9,598.68 today and the remaining ZAR 601.32 on 2024-06-15. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,52640.85,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 113,000 request. Although INR 52,640.85 is available today, the full amount cannot be completed safely within 90 days."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,623.67,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 623.67 is available today, the full amount cannot be completed safely within 90 days."
request_177,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-25. None of the available options keeps the USD 1,300 minimum protected."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 1,400 available."
request_179,6458243.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,404.59,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 404.59 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,23107211.77,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"Use 3 installments of IDR 9,313,546.67, starting 2026-04-10. This leaves at least IDR 11,878,300 available."
request_184,9316.10,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 9,316.10 is available today, the full amount cannot be completed safely within 90 days."
request_185,318.41,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000 minimum protected."
